Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
cnn,42,1,1.3627,0.1887,0.3306,0.0,6e-05
cnn,42,2,0.2341,0.1636,0.2948,0.0,0.00012
cnn,42,3,0.224,0.1621,0.2946,0.0,0.00018
cnn,42,4,0.2134,0.2031,0.3684,0.0,0.00024
cnn,42,5,0.2058,0.1465,0.2853,0.0,0.0003
cnn,42,6,0.1874,0.1578,0.3335,0.0,0.000299
cnn,42,7,0.165,0.1588,0.2935,0.0,0.000298
cnn,42,8,0.1527,0.1539,0.311,0.0,0.000295
cnn,42,9,0.1458,0.1527,0.2995,0.0,0.00029
cnn,42,10,0.1359,0.1409,0.2914,0.0,0.000285
cnn,42,11,0.13,0.1341,0.2771,0.0,0.000279
cnn,42,12,0.1262,0.1328,0.2823,0.0,0.000271
cnn,42,13,0.1229,0.1345,0.3098,0.0,0.000263
cnn,42,14,0.1192,0.1262,0.2903,0.0,0.000254
cnn,42,15,0.1161,0.1218,0.2858,0.0,0.000244
cnn,42,16,0.1119,0.1149,0.2705,0.0,0.000233
cnn,42,17,0.109,0.1305,0.2956,0.0,0.000221
cnn,42,18,0.1054,0.1066,0.2788,0.0,0.000209
cnn,42,19,0.1031,0.1114,0.2943,0.0,0.000196
cnn,42,20,0.0991,0.1077,0.2933,0.0,0.000183
cnn,42,21,0.098,0.1014,0.2678,0.0,0.00017
cnn,42,22,0.0967,0.0965,0.2643,0.0,0.000157
cnn,42,23,0.0936,0.0987,0.274,0.0,0.000143
cnn,42,24,0.0931,0.1001,0.283,0.0,0.00013
cnn,42,25,0.0929,0.1032,0.2959,0.0,0.000117
cnn,42,26,0.0912,0.096,0.2738,0.0,0.000104
cnn,42,27,0.0904,0.0975,0.2741,0.0,9.1e-05
cnn,42,28,0.0885,0.0972,0.2757,0.0,7.89e-05
cnn,42,29,0.0879,0.0964,0.2713,0.0,6.74e-05
cnn,42,30,0.0873,0.0955,0.269,0.0,5.65e-05
cnn,42,31,0.0856,0.0937,0.2703,0.0,4.63e-05
cnn,42,32,0.0862,0.0951,0.2801,0.0,3.7e-05
cnn,42,33,0.0857,0.0956,0.2731,0.0,2.86e-05
cnn,42,34,0.0847,0.0955,0.274,0.0,2.12e-05
