Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
lstm,42,1,2.0969,0.1115,0.219,0.0,6e-05
lstm,42,2,0.2115,0.0998,0.2153,0.0,0.00012
lstm,42,3,0.1675,0.0769,0.2096,0.0,0.00018
lstm,42,4,0.1396,0.049,0.1383,0.0,0.00024
lstm,42,5,0.1219,0.0493,0.1525,0.0,0.0003
lstm,42,6,0.1106,0.0449,0.1273,0.0,0.000299
lstm,42,7,0.1036,0.0445,0.1393,0.0,0.000298
lstm,42,8,0.0972,0.0429,0.1216,0.0,0.000295
lstm,42,9,0.0938,0.0404,0.1184,0.0,0.00029
lstm,42,10,0.0905,0.0416,0.1159,0.0,0.000285
lstm,42,11,0.0881,0.0409,0.1154,0.0,0.000279
lstm,42,12,0.0845,0.0397,0.1128,0.0,0.000271
lstm,42,13,0.0817,0.0393,0.1162,0.0,0.000263
lstm,42,14,0.0797,0.0429,0.1211,0.0,0.000254
lstm,42,15,0.0763,0.0462,0.1192,0.0,0.000244
lstm,42,16,0.0744,0.0421,0.1177,0.0,0.000233
lstm,42,17,0.0725,0.0428,0.117,0.0,0.000221
lstm,42,18,0.0705,0.0436,0.1215,0.0,0.000209
lstm,42,19,0.0704,0.0443,0.119,0.0,0.000196
lstm,42,20,0.0691,0.0438,0.119,0.0,0.000183
lstm,42,21,0.0692,0.042,0.1177,0.0,0.00017
lstm,42,22,0.067,0.0431,0.1194,0.0,0.000157
lstm,42,23,0.0662,0.0418,0.1164,0.0,0.000143
lstm,42,24,0.0658,0.0431,0.1162,0.0,0.00013
