Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
mlp,42,1,1.4497,0.1003,0.2319,0.0,6e-05
mlp,42,2,0.3751,0.0709,0.2027,0.0,0.00012
mlp,42,3,0.2951,0.0897,0.1954,0.0,0.00018
mlp,42,4,0.2494,0.0615,0.1581,0.0,0.00024
mlp,42,5,0.2224,0.0635,0.165,0.0,0.0003
mlp,42,6,0.2023,0.0617,0.1546,0.0,0.000299
mlp,42,7,0.1855,0.0546,0.1406,0.0,0.000298
mlp,42,8,0.1762,0.0552,0.1425,0.0,0.000295
mlp,42,9,0.1653,0.0657,0.1489,0.0,0.00029
mlp,42,10,0.1585,0.0545,0.139,0.0,0.000285
mlp,42,11,0.1506,0.056,0.1309,0.0,0.000279
mlp,42,12,0.1472,0.051,0.13,0.0,0.000271
mlp,42,13,0.1439,0.0637,0.1323,0.0,0.000263
mlp,42,14,0.1388,0.058,0.1328,0.0,0.000254
mlp,42,15,0.1361,0.0575,0.1341,0.0,0.000244
mlp,42,16,0.1329,0.0571,0.1342,0.0,0.000233
mlp,42,17,0.1296,0.0686,0.1553,0.0,0.000221
mlp,42,18,0.1287,0.0572,0.1398,0.0,0.000209
mlp,42,19,0.1258,0.0529,0.1358,0.0,0.000196
mlp,42,20,0.1242,0.0568,0.1307,0.0,0.000183
mlp,42,21,0.1221,0.054,0.1339,0.0,0.00017
mlp,42,22,0.1198,0.0592,0.1369,0.0,0.000157
mlp,42,23,0.1176,0.0635,0.1393,0.0,0.000143
mlp,42,24,0.1199,0.059,0.1333,0.0,0.00013
