Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
seqlen_96,42,1,-0.0164,-0.1521,0.3766,1.005,6e-05
seqlen_96,42,2,-0.0751,-0.1553,0.2596,1.026,0.00012
seqlen_96,42,3,-0.0926,-0.1818,0.2062,1.041,0.00018
seqlen_96,42,4,-0.1025,-0.2095,0.161,1.056,0.00024
seqlen_96,42,5,-0.1073,-0.1879,0.1794,1.068,0.0003
seqlen_96,42,6,-0.1108,-0.1947,0.1268,1.077,0.000299
seqlen_96,42,7,-0.1155,-0.1748,0.1266,1.088,0.000298
seqlen_96,42,8,-0.121,-0.1771,0.1173,1.096,0.000295
seqlen_96,42,9,-0.1294,-0.1735,0.1241,1.104,0.00029
seqlen_96,42,10,-0.1331,-0.1573,0.1372,1.11,0.000285
seqlen_96,42,11,-0.1383,-0.172,0.1212,1.111,0.000279
seqlen_96,42,12,-0.1388,-0.1599,0.1202,1.115,0.000271
seqlen_96,42,13,-0.1382,-0.1658,0.1255,1.119,0.000263
seqlen_96,42,14,-0.1444,-0.1539,0.127,1.12,0.000254
seqlen_96,42,15,-0.1498,-0.1418,0.1302,1.119,0.000244
seqlen_96,42,16,-0.1486,-0.1566,0.1263,1.122,0.000233
seqlen_96,42,17,-0.1517,-0.1582,0.1303,1.121,0.000221
seqlen_96,42,18,-0.1578,-0.1334,0.1446,1.123,0.000209
seqlen_96,42,19,-0.1655,-0.1488,0.1264,1.121,0.000196
seqlen_96,42,20,-0.1694,-0.1593,0.1291,1.121,0.000183
