Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_bz,43,1,-0.0423,-0.1379,0.3695,1.006,6e-05
storm_bz,43,2,-0.0882,-0.1675,0.2438,1.024,0.00012
storm_bz,43,3,-0.1115,-0.1823,0.1894,1.039,0.00018
storm_bz,43,4,-0.1355,-0.1847,0.1603,1.054,0.00024
storm_bz,43,5,-0.1494,-0.1841,0.1411,1.064,0.0003
storm_bz,43,6,-0.1619,-0.1989,0.1464,1.071,0.000299
storm_bz,43,7,-0.1706,-0.1817,0.1204,1.084,0.000298
storm_bz,43,8,-0.1796,-0.2078,0.1238,1.092,0.000295
storm_bz,43,9,-0.1856,-0.1879,0.1123,1.097,0.00029
storm_bz,43,10,-0.1881,-0.1668,0.118,1.101,0.000285
storm_bz,43,11,-0.1898,-0.2023,0.1238,1.1,0.000279
storm_bz,43,12,-0.194,-0.1795,0.1148,1.097,0.000271
storm_bz,43,13,-0.1915,-0.146,0.114,1.094,0.000263
storm_bz,43,14,-0.1932,-0.1588,0.1164,1.09,0.000254
storm_bz,43,15,-0.1958,-0.1943,0.1158,1.087,0.000244
storm_bz,43,16,-0.1962,-0.1815,0.1125,1.083,0.000233
storm_bz,43,17,-0.1988,-0.1689,0.1175,1.081,0.000221
storm_bz,43,18,-0.1992,-0.1581,0.1132,1.077,0.000209
storm_bz,43,19,-0.1996,-0.1606,0.1124,1.074,0.000196
storm_bz,43,20,-0.2008,-0.168,0.1153,1.072,0.000183
storm_bz,43,21,-0.1997,-0.1716,0.117,1.07,0.00017
