Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode,43,1,-0.0023,-0.1284,0.2972,1.008,6e-05
storm_cathode,43,2,-0.0915,-0.1955,0.1845,1.024,0.00012
storm_cathode,43,3,-0.102,-0.1749,0.1848,1.043,0.00018
storm_cathode,43,4,-0.1164,-0.1853,0.1351,1.06,0.00024
storm_cathode,43,5,-0.1373,-0.2003,0.1427,1.071,0.0003
storm_cathode,43,6,-0.1533,-0.1731,0.1346,1.076,0.000299
storm_cathode,43,7,-0.1605,-0.1919,0.1305,1.085,0.000298
storm_cathode,43,8,-0.1658,-0.1767,0.1216,1.092,0.000295
storm_cathode,43,9,-0.1751,-0.1893,0.1181,1.097,0.00029
storm_cathode,43,10,-0.1809,-0.1939,0.1138,1.102,0.000285
storm_cathode,43,11,-0.187,-0.1782,0.1151,1.106,0.000279
storm_cathode,43,12,-0.1879,-0.1662,0.1217,1.104,0.000271
storm_cathode,43,13,-0.1918,-0.1798,0.1177,1.102,0.000263
storm_cathode,43,14,-0.1924,-0.1646,0.1229,1.1,0.000254
storm_cathode,43,15,-0.1946,-0.1641,0.119,1.1,0.000244
storm_cathode,43,16,-0.1956,-0.1715,0.1119,1.099,0.000233
storm_cathode,43,17,-0.1966,-0.1734,0.1178,1.1,0.000221
storm_cathode,43,18,-0.199,-0.1639,0.1129,1.1,0.000209
storm_cathode,43,19,-0.1954,-0.1684,0.1139,1.1,0.000196
storm_cathode,43,20,-0.1986,-0.1512,0.1141,1.1,0.000183
storm_cathode,43,21,-0.2015,-0.166,0.1161,1.098,0.00017
storm_cathode,43,22,-0.2025,-0.1553,0.1132,1.098,0.000157
storm_cathode,43,23,-0.2021,-0.1699,0.1165,1.097,0.000143
storm_cathode,43,24,-0.2021,-0.1517,0.1111,1.096,0.00013
storm_cathode,43,25,-0.2031,-0.1572,0.1168,1.096,0.000117
storm_cathode,43,26,-0.2032,-0.1495,0.1136,1.096,0.000104
storm_cathode,43,27,-0.2045,-0.1454,0.1174,1.095,9.1e-05
storm_cathode,43,28,-0.2032,-0.1472,0.1146,1.092,7.89e-05
storm_cathode,43,29,-0.2017,-0.1582,0.11,1.093,6.74e-05
storm_cathode,43,30,-0.2058,-0.1522,0.1132,1.093,5.65e-05
storm_cathode,43,31,-0.2051,-0.1442,0.1117,1.093,4.63e-05
storm_cathode,43,32,-0.2032,-0.1395,0.111,1.092,3.7e-05
storm_cathode,43,33,-0.2045,-0.1351,0.1118,1.092,2.86e-05
storm_cathode,43,34,-0.2022,-0.1475,0.1117,1.092,2.12e-05
storm_cathode,43,35,-0.2044,-0.1453,0.1108,1.092,1.49e-05
storm_cathode,43,36,-0.2071,-0.1432,0.1105,1.092,9.56e-06
storm_cathode,43,37,-0.2072,-0.1425,0.1108,1.092,5.41e-06
storm_cathode,43,38,-0.2065,-0.1416,0.111,1.092,2.41e-06
storm_cathode,43,39,-0.2049,-0.1421,0.1102,1.092,6.04e-07
storm_cathode,43,40,-0.2064,-0.1422,0.1102,1.092,0.0
