Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_cathode_spec,44,1,-0.0035,-0.131,0.2866,1.012,6e-05
storm_cathode_spec,44,2,-0.0842,-0.1785,0.2024,1.028,0.00012
storm_cathode_spec,44,3,-0.0924,-0.1908,0.1594,1.046,0.00018
storm_cathode_spec,44,4,-0.0982,-0.1914,0.1415,1.06,0.00024
storm_cathode_spec,44,5,-0.1014,-0.193,0.1247,1.073,0.0003
storm_cathode_spec,44,6,-0.0995,-0.1862,0.1177,1.085,0.000299
storm_cathode_spec,44,7,-0.1188,-0.1829,0.1162,1.092,0.000298
storm_cathode_spec,44,8,-0.148,-0.1859,0.1233,1.099,0.000295
storm_cathode_spec,44,9,-0.1632,-0.1844,0.1277,1.104,0.00029
storm_cathode_spec,44,10,-0.1707,-0.1807,0.1234,1.107,0.000285
storm_cathode_spec,44,11,-0.1778,-0.1803,0.1153,1.108,0.000279
storm_cathode_spec,44,12,-0.1822,-0.1952,0.1144,1.107,0.000271
storm_cathode_spec,44,13,-0.1792,-0.1716,0.1167,1.106,0.000263
storm_cathode_spec,44,14,-0.1847,-0.1644,0.1196,1.107,0.000254
storm_cathode_spec,44,15,-0.188,-0.1928,0.1155,1.106,0.000244
storm_cathode_spec,44,16,-0.1878,-0.1937,0.1174,1.104,0.000233
storm_cathode_spec,44,17,-0.1909,-0.1648,0.1205,1.101,0.000221
storm_cathode_spec,44,18,-0.1901,-0.1561,0.1166,1.101,0.000209
storm_cathode_spec,44,19,-0.1912,-0.1429,0.1178,1.102,0.000196
storm_cathode_spec,44,20,-0.1912,-0.1363,0.1169,1.102,0.000183
storm_cathode_spec,44,21,-0.1914,-0.1642,0.1202,1.101,0.00017
storm_cathode_spec,44,22,-0.1942,-0.1685,0.1217,1.1,0.000157
storm_cathode_spec,44,23,-0.1946,-0.1393,0.1176,1.098,0.000143
storm_cathode_spec,44,24,-0.1949,-0.1428,0.1157,1.098,0.00013
