Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_no_delay,43,1,-0.0449,-0.1371,0.3571,1.0,6e-05
storm_no_delay,43,2,-0.0907,-0.1609,0.2474,1.0,0.00012
storm_no_delay,43,3,-0.1248,-0.1788,0.1865,1.0,0.00018
storm_no_delay,43,4,-0.1475,-0.1827,0.1626,1.0,0.00024
storm_no_delay,43,5,-0.1603,-0.1758,0.1653,1.0,0.0003
storm_no_delay,43,6,-0.1725,-0.1942,0.1538,1.0,0.000299
storm_no_delay,43,7,-0.1769,-0.1789,0.1247,1.0,0.000298
storm_no_delay,43,8,-0.1832,-0.1956,0.1195,1.0,0.000295
storm_no_delay,43,9,-0.1851,-0.1771,0.1236,1.0,0.00029
storm_no_delay,43,10,-0.1869,-0.1509,0.1238,1.0,0.000285
storm_no_delay,43,11,-0.1915,-0.2009,0.1158,1.0,0.000279
storm_no_delay,43,12,-0.1964,-0.1791,0.1131,1.0,0.000271
storm_no_delay,43,13,-0.1936,-0.1698,0.1119,1.0,0.000263
storm_no_delay,43,14,-0.1947,-0.1625,0.1243,1.0,0.000254
storm_no_delay,43,15,-0.1974,-0.2042,0.1253,1.0,0.000244
storm_no_delay,43,16,-0.1963,-0.1625,0.119,1.0,0.000233
storm_no_delay,43,17,-0.1998,-0.1618,0.1157,1.0,0.000221
storm_no_delay,43,18,-0.1993,-0.1581,0.1229,1.0,0.000209
storm_no_delay,43,19,-0.2001,-0.1642,0.1176,1.0,0.000196
storm_no_delay,43,20,-0.2012,-0.1614,0.1168,1.0,0.000183
storm_no_delay,43,21,-0.1998,-0.1656,0.1167,1.0,0.00017
storm_no_delay,43,22,-0.202,-0.1759,0.1138,1.0,0.000157
storm_no_delay,43,23,-0.2026,-0.1678,0.113,1.0,0.000143
storm_no_delay,43,24,-0.2044,-0.1565,0.1204,1.0,0.00013
storm_no_delay,43,25,-0.2008,-0.1519,0.1157,1.0,0.000117
