Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_no_physics,44,1,-0.0908,-0.1815,0.3271,1.006,6e-05
storm_no_physics,44,2,-0.1268,-0.2008,0.2229,1.026,0.00012
storm_no_physics,44,3,-0.1403,-0.205,0.1711,1.044,0.00018
storm_no_physics,44,4,-0.1527,-0.1886,0.1483,1.058,0.00024
storm_no_physics,44,5,-0.1641,-0.1997,0.1152,1.065,0.0003
storm_no_physics,44,6,-0.1731,-0.2057,0.115,1.076,0.000299
storm_no_physics,44,7,-0.178,-0.1926,0.1133,1.085,0.000298
storm_no_physics,44,8,-0.1786,-0.1967,0.1243,1.088,0.000295
storm_no_physics,44,9,-0.1748,-0.1664,0.1134,1.089,0.00029
storm_no_physics,44,10,-0.1852,-0.196,0.1099,1.09,0.000285
storm_no_physics,44,11,-0.1944,-0.1862,0.1144,1.089,0.000279
storm_no_physics,44,12,-0.1969,-0.1693,0.1157,1.088,0.000271
storm_no_physics,44,13,-0.1952,-0.1773,0.1238,1.089,0.000263
storm_no_physics,44,14,-0.1989,-0.1874,0.1345,1.09,0.000254
storm_no_physics,44,15,-0.2009,-0.1797,0.1143,1.089,0.000244
storm_no_physics,44,16,-0.2003,-0.1956,0.1273,1.09,0.000233
storm_no_physics,44,17,-0.2036,-0.1856,0.1101,1.086,0.000221
storm_no_physics,44,18,-0.2018,-0.1673,0.1131,1.089,0.000209
storm_no_physics,44,19,-0.2032,-0.1741,0.1136,1.088,0.000196
storm_no_physics,44,20,-0.203,-0.1575,0.1107,1.087,0.000183
storm_no_physics,44,21,-0.2031,-0.1773,0.1134,1.087,0.00017
storm_no_physics,44,22,-0.2059,-0.1611,0.1143,1.085,0.000157
