Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_radio_spec,42,1,-0.0404,-0.1447,0.3239,1.011,6e-05
storm_radio_spec,42,2,-0.0952,-0.1834,0.2063,1.028,0.00012
storm_radio_spec,42,3,-0.1184,-0.2091,0.1654,1.04,0.00018
storm_radio_spec,42,4,-0.1317,-0.1931,0.1654,1.055,0.00024
storm_radio_spec,42,5,-0.1428,-0.1937,0.1317,1.063,0.0003
storm_radio_spec,42,6,-0.1532,-0.1608,0.1382,1.073,0.000299
storm_radio_spec,42,7,-0.1598,-0.2114,0.1317,1.077,0.000298
storm_radio_spec,42,8,-0.1641,-0.1695,0.1215,1.084,0.000295
storm_radio_spec,42,9,-0.1716,-0.1947,0.1218,1.087,0.00029
storm_radio_spec,42,10,-0.1709,-0.1519,0.1246,1.091,0.000285
storm_radio_spec,42,11,-0.1776,-0.1641,0.1267,1.092,0.000279
storm_radio_spec,42,12,-0.1791,-0.1559,0.1198,1.096,0.000271
storm_radio_spec,42,13,-0.1819,-0.1635,0.1149,1.096,0.000263
storm_radio_spec,42,14,-0.1843,-0.1495,0.12,1.095,0.000254
storm_radio_spec,42,15,-0.1857,-0.1572,0.1187,1.091,0.000244
storm_radio_spec,42,16,-0.1905,-0.1687,0.1133,1.088,0.000233
storm_radio_spec,42,17,-0.1912,-0.1561,0.1163,1.088,0.000221
storm_radio_spec,42,18,-0.1912,-0.1624,0.1199,1.086,0.000209
storm_radio_spec,42,19,-0.1914,-0.1768,0.116,1.086,0.000196
storm_radio_spec,42,20,-0.1925,-0.1751,0.1183,1.087,0.000183
storm_radio_spec,42,21,-0.1925,-0.1422,0.1194,1.084,0.00017
storm_radio_spec,42,22,-0.1959,-0.1557,0.1199,1.084,0.000157
storm_radio_spec,42,23,-0.195,-0.1518,0.1219,1.082,0.000143
storm_radio_spec,42,24,-0.1945,-0.1385,0.1174,1.08,0.00013
storm_radio_spec,42,25,-0.195,-0.1367,0.1203,1.078,0.000117
storm_radio_spec,42,26,-0.1976,-0.1398,0.1183,1.076,0.000104
storm_radio_spec,42,27,-0.2001,-0.145,0.1218,1.075,9.1e-05
storm_radio_spec,42,28,-0.1983,-0.1281,0.1222,1.075,7.89e-05
