Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
storm_radiotrophic,43,1,-0.0458,-0.1363,0.3533,1.005,6e-05
storm_radiotrophic,43,2,-0.0898,-0.1682,0.214,1.021,0.00012
storm_radiotrophic,43,3,-0.1024,-0.1772,0.2064,1.039,0.00018
storm_radiotrophic,43,4,-0.112,-0.18,0.1728,1.054,0.00024
storm_radiotrophic,43,5,-0.1189,-0.1987,0.1406,1.065,0.0003
storm_radiotrophic,43,6,-0.1318,-0.1859,0.1332,1.074,0.000299
storm_radiotrophic,43,7,-0.1589,-0.1819,0.1307,1.082,0.000298
storm_radiotrophic,43,8,-0.174,-0.193,0.1246,1.089,0.000295
storm_radiotrophic,43,9,-0.1806,-0.1949,0.1168,1.096,0.00029
storm_radiotrophic,43,10,-0.1851,-0.1693,0.1454,1.097,0.000285
storm_radiotrophic,43,11,-0.1875,-0.1974,0.1167,1.098,0.000279
storm_radiotrophic,43,12,-0.1931,-0.1784,0.1173,1.096,0.000271
storm_radiotrophic,43,13,-0.1914,-0.1459,0.1154,1.096,0.000263
storm_radiotrophic,43,14,-0.192,-0.1784,0.1212,1.094,0.000254
storm_radiotrophic,43,15,-0.1956,-0.1934,0.122,1.09,0.000244
storm_radiotrophic,43,16,-0.1941,-0.1545,0.1171,1.088,0.000233
storm_radiotrophic,43,17,-0.1995,-0.1614,0.1172,1.087,0.000221
storm_radiotrophic,43,18,-0.1985,-0.1794,0.1107,1.085,0.000209
storm_radiotrophic,43,19,-0.1979,-0.1676,0.1095,1.084,0.000196
storm_radiotrophic,43,20,-0.2002,-0.1433,0.115,1.083,0.000183
storm_radiotrophic,43,21,-0.1986,-0.16,0.1138,1.084,0.00017
storm_radiotrophic,43,22,-0.2009,-0.1645,0.1127,1.083,0.000157
storm_radiotrophic,43,23,-0.2026,-0.1776,0.1124,1.082,0.000143
storm_radiotrophic,43,24,-0.2029,-0.1535,0.1128,1.08,0.00013
storm_radiotrophic,43,25,-0.2005,-0.1495,0.1111,1.079,0.000117
storm_radiotrophic,43,26,-0.202,-0.1519,0.1105,1.077,0.000104
storm_radiotrophic,43,27,-0.2033,-0.1549,0.1108,1.075,9.1e-05
storm_radiotrophic,43,28,-0.2052,-0.1416,0.1118,1.073,7.89e-05
storm_radiotrophic,43,29,-0.2045,-0.1447,0.1112,1.071,6.74e-05
storm_radiotrophic,43,30,-0.2056,-0.1447,0.1117,1.07,5.65e-05
storm_radiotrophic,43,31,-0.2075,-0.1416,0.1114,1.07,4.63e-05
