Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
sweep_sw15,42,1,-0.0438,-0.1364,0.4046,1.004,6e-05
sweep_sw15,42,2,-0.0903,-0.1827,0.2498,1.022,0.00012
sweep_sw15,42,3,-0.1142,-0.1534,0.2229,1.041,0.00018
sweep_sw15,42,4,-0.1321,-0.1854,0.1816,1.055,0.00024
sweep_sw15,42,5,-0.1429,-0.18,0.1422,1.063,0.0003
sweep_sw15,42,6,-0.1586,-0.1794,0.1299,1.068,0.000299
sweep_sw15,42,7,-0.1609,-0.1629,0.1301,1.072,0.000298
sweep_sw15,42,8,-0.1668,-0.1696,0.1313,1.077,0.000295
sweep_sw15,42,9,-0.1759,-0.1848,0.1323,1.078,0.00029
sweep_sw15,42,10,-0.1791,-0.1692,0.1224,1.075,0.000285
sweep_sw15,42,11,-0.1848,-0.1952,0.1256,1.075,0.000279
sweep_sw15,42,12,-0.1889,-0.187,0.1156,1.076,0.000271
sweep_sw15,42,13,-0.1894,-0.1676,0.1208,1.078,0.000263
sweep_sw15,42,14,-0.1899,-0.1689,0.1202,1.075,0.000254
sweep_sw15,42,15,-0.1939,-0.1625,0.125,1.073,0.000244
sweep_sw15,42,16,-0.194,-0.1783,0.1219,1.071,0.000233
sweep_sw15,42,17,-0.1942,-0.152,0.1277,1.071,0.000221
sweep_sw15,42,18,-0.1947,-0.1568,0.127,1.072,0.000209
sweep_sw15,42,19,-0.1938,-0.1497,0.1208,1.07,0.000196
sweep_sw15,42,20,-0.1977,-0.1526,0.1214,1.067,0.000183
sweep_sw15,42,21,-0.1969,-0.1527,0.1257,1.063,0.00017
sweep_sw15,42,22,-0.1991,-0.1458,0.1236,1.062,0.000157
sweep_sw15,42,23,-0.2002,-0.1351,0.1168,1.059,0.000143
sweep_sw15,42,24,-0.1991,-0.1418,0.1212,1.058,0.00013
