Model,Seed,Epoch,Train_Loss,Val_Loss,Val_MSE,Delay_Hours,Learning_Rate
transformer,44,1,0.3764,0.0571,0.1679,0.0,6e-05
transformer,44,2,0.1613,0.0655,0.1756,0.0,0.00012
transformer,44,3,0.1435,0.0421,0.1223,0.0,0.00018
transformer,44,4,0.1338,0.04,0.1208,0.0,0.00024
transformer,44,5,0.1265,0.0377,0.1081,0.0,0.0003
transformer,44,6,0.1164,0.0443,0.1187,0.0,0.000299
transformer,44,7,0.1115,0.0354,0.1157,0.0,0.000298
transformer,44,8,0.107,0.0361,0.1161,0.0,0.000295
transformer,44,9,0.1013,0.0352,0.11,0.0,0.00029
transformer,44,10,0.0993,0.0357,0.1142,0.0,0.000285
transformer,44,11,0.0948,0.0367,0.116,0.0,0.000279
transformer,44,12,0.0915,0.0335,0.1124,0.0,0.000271
transformer,44,13,0.0869,0.0343,0.1144,0.0,0.000263
transformer,44,14,0.0811,0.0355,0.1128,0.0,0.000254
transformer,44,15,0.076,0.0344,0.113,0.0,0.000244
transformer,44,16,0.0731,0.0334,0.1139,0.0,0.000233
transformer,44,17,0.0702,0.0348,0.1091,0.0,0.000221
