label,seed,horizon,period,pe,rmse,mae,r2,n,storm_source
storm_bz,42,45min,all,0.3694506883621216,0.09049935638904572,0.05588768422603607,0.9874880909919739,15766,storm_flag
storm_bz,42,6h,all,0.6841982007026672,0.24525757133960724,0.1690685749053955,0.9080456495285034,15766,storm_flag
storm_bz,42,12h,all,0.7405798435211182,0.30096426606178284,0.20179741084575653,0.8614922761917114,15766,storm_flag
storm_bz,42,45min,storm,0.2986617684364319,0.15133771300315857,0.10352977365255356,0.9755329489707947,1050,storm_flag
storm_bz,42,6h,storm,0.6597629189491272,0.3734164237976074,0.2812424302101135,0.8397797346115112,1050,storm_flag
storm_bz,42,12h,storm,0.7245755195617676,0.47723010182380676,0.351298063993454,0.7121561765670776,1050,storm_flag
storm_bz,42,45min,quiet,0.3836875557899475,0.08450058847665787,0.05248837545514107,0.9869890213012695,14716,storm_flag
storm_bz,42,6h,quiet,0.6882854700088501,0.23343943059444427,0.16106487810611725,0.8992873430252075,14716,storm_flag
storm_bz,42,12h,quiet,0.7435768842697144,0.2842399477958679,0.1911303997039795,0.8495610952377319,14716,storm_flag
storm_bz,42,45min,high_flux,0.4522947669029236,0.1114288941025734,0.07190883159637451,0.9596051573753357,1577,storm_flag
storm_bz,42,6h,high_flux,0.7578760385513306,0.269638329744339,0.191477969288826,0.5178152322769165,1577,storm_flag
storm_bz,42,12h,high_flux,0.7403663992881775,0.4057535231113434,0.28493404388427734,0.622361958026886,1577,storm_flag
storm_bz,43,45min,all,0.27508729696273804,0.09703509509563446,0.0642763003706932,0.9856156706809998,15766,storm_flag
storm_bz,43,6h,all,0.6340739130973816,0.26400479674339294,0.18597626686096191,0.8934506177902222,15766,storm_flag
storm_bz,43,12h,all,0.7436116933822632,0.2992004454135895,0.20781809091567993,0.8631110191345215,15766,storm_flag
storm_bz,43,45min,storm,0.2866370677947998,0.1526295691728592,0.10704026371240616,0.9751134514808655,1050,storm_flag
storm_bz,43,6h,storm,0.6927837133407593,0.35483357310295105,0.26826798915863037,0.8553295135498047,1050,storm_flag
storm_bz,43,12h,storm,0.7737035751342773,0.432578980922699,0.3155880272388458,0.7634994983673096,1050,storm_flag
storm_bz,43,45min,quiet,0.27276432514190674,0.09179031103849411,0.061225052922964096,0.9846473336219788,14716,storm_flag
storm_bz,43,6h,quiet,0.6242536306381226,0.25629672408103943,0.18010467290878296,0.8785991668701172,14716,storm_flag
storm_bz,43,12h,quiet,0.7379767894744873,0.28732699155807495,0.20012858510017395,0.8462756276130676,14716,storm_flag
storm_bz,43,45min,high_flux,0.4110748767852783,0.11554586887359619,0.07563027739524841,0.9565650820732117,1577,storm_flag
storm_bz,43,6h,high_flux,0.7369170188903809,0.28106656670570374,0.20416012406349182,0.4760756492614746,1577,storm_flag
storm_bz,43,12h,high_flux,0.7912821769714355,0.3637990951538086,0.2518070340156555,0.6964191198348999,1577,storm_flag
storm_bz,44,45min,all,0.36734145879745483,0.09065059572458267,0.05615623667836189,0.9874462485313416,15766,storm_flag
storm_bz,44,6h,all,0.687612771987915,0.24392807483673096,0.1653934270143509,0.9090399146080017,15766,storm_flag
storm_bz,44,12h,all,0.7414188385009766,0.3004772365093231,0.20316235721111298,0.8619402050971985,15766,storm_flag
storm_bz,44,45min,storm,0.27690207958221436,0.15366747975349426,0.10495510697364807,0.9747738242149353,1050,storm_flag
storm_bz,44,6h,storm,0.6686161160469055,0.3685261309146881,0.2700349688529968,0.8439487814903259,1050,storm_flag
storm_bz,44,12h,storm,0.7307350635528564,0.4718635678291321,0.34783318638801575,0.7185934782028198,1050,storm_flag
storm_bz,44,45min,quiet,0.38553035259246826,0.08437416702508926,0.052674394100904465,0.9870279431343079,14716,storm_flag
storm_bz,44,6h,quiet,0.6907902956008911,0.2324996292591095,0.15792717039585114,0.9000966548919678,14716,storm_flag
storm_bz,44,12h,quiet,0.7434194087982178,0.2843271493911743,0.19283995032310486,0.8494687676429749,14716,storm_flag
storm_bz,44,45min,high_flux,0.43845218420028687,0.11282822489738464,0.07345474511384964,0.958584189414978,1577,storm_flag
storm_bz,44,6h,high_flux,0.7402688264846802,0.27927035093307495,0.18898241221904755,0.48275071382522583,1577,storm_flag
storm_bz,44,12h,high_flux,0.747792661190033,0.39990857243537903,0.27640607953071594,0.6331634521484375,1577,storm_flag
storm_no_delay,42,45min,all,0.3847386837005615,0.08939552307128906,0.05519470199942589,0.9877914190292358,15766,storm_flag
storm_no_delay,42,6h,all,0.688274621963501,0.2436695247888565,0.1684093177318573,0.9092326164245605,15766,storm_flag
storm_no_delay,42,12h,all,0.7391263246536255,0.3018062710762024,0.20704224705696106,0.8607161641120911,15766,storm_flag
storm_no_delay,42,45min,storm,0.29390132427215576,0.15185046195983887,0.10597571730613708,0.9753668904304504,1050,storm_flag
storm_no_delay,42,6h,storm,0.6499793529510498,0.37874719500541687,0.28256353735923767,0.8351725935935974,1050,storm_flag
storm_no_delay,42,12h,storm,0.7615762948989868,0.44401872158050537,0.3391987681388855,0.7508254051208496,1050,storm_flag
storm_no_delay,42,45min,quiet,0.4030076265335083,0.08316558599472046,0.051571425050497055,0.9873968958854675,14716,storm_flag
storm_no_delay,42,6h,quiet,0.6946802139282227,0.23103255033493042,0.16026431322097778,0.9013534784317017,14716,storm_flag
storm_no_delay,42,12h,quiet,0.7349224090576172,0.28899678587913513,0.19761276245117188,0.8444836735725403,14716,storm_flag
storm_no_delay,42,45min,high_flux,0.43834227323532104,0.11283926665782928,0.07350309938192368,0.9585760831832886,1577,storm_flag
storm_no_delay,42,6h,high_flux,0.7117143869400024,0.2942214012145996,0.20257900655269623,0.4258852005004883,1577,storm_flag
storm_no_delay,42,12h,high_flux,0.7649183869361877,0.3860923647880554,0.27566051483154297,0.6580728888511658,1577,storm_flag
storm_no_delay,43,45min,all,0.35364222526550293,0.09162678569555283,0.05614759400486946,0.987174391746521,15766,storm_flag
storm_no_delay,43,6h,all,0.6463916897773743,0.25952330231666565,0.17752742767333984,0.8970372676849365,15766,storm_flag
storm_no_delay,43,12h,all,0.7433152794837952,0.2993733584880829,0.20409943163394928,0.862952709197998,15766,storm_flag
storm_no_delay,43,45min,storm,0.26528406143188477,0.1548970490694046,0.10681042075157166,0.9743685126304626,1050,storm_flag
storm_no_delay,43,6h,storm,0.6262161731719971,0.3913927972316742,0.2877575159072876,0.8239823579788208,1050,storm_flag
storm_no_delay,43,12h,storm,0.740523099899292,0.46320784091949463,0.33687537908554077,0.7288228869438171,1050,storm_flag
storm_no_delay,43,45min,quiet,0.3714125156402588,0.08533793687820435,0.052532754838466644,0.9867299199104309,14716,storm_flag
storm_no_delay,43,6h,quiet,0.6497664451599121,0.24744266271591187,0.16966240108013153,0.8868421316146851,14716,storm_flag
storm_no_delay,43,12h,quiet,0.7438381314277649,0.2840951085090637,0.19462573528289795,0.8497143983840942,14716,storm_flag
storm_no_delay,43,45min,high_flux,0.37883418798446655,0.11866649985313416,0.07586669921875,0.9541872143745422,1577,storm_flag
storm_no_delay,43,6h,high_flux,0.7159837484359741,0.2920346260070801,0.19538189470767975,0.43438756465911865,1577,storm_flag
storm_no_delay,43,12h,high_flux,0.7566551566123962,0.3928194046020508,0.2631082832813263,0.6460540294647217,1577,storm_flag
storm_no_delay,44,45min,all,0.39444124698638916,0.08868784457445145,0.05435478314757347,0.9879840016365051,15766,storm_flag
storm_no_delay,44,6h,all,0.6810907125473022,0.24646127223968506,0.16969802975654602,0.907140851020813,15766,storm_flag
storm_no_delay,44,12h,all,0.7499901056289673,0.2954552471637726,0.20453926920890808,0.8665164709091187,15766,storm_flag
storm_no_delay,44,45min,storm,0.31495100259780884,0.14956991374492645,0.1024472638964653,0.9761012196540833,1050,storm_flag
storm_no_delay,44,6h,storm,0.6544036269187927,0.3763459026813507,0.2780529260635376,0.8372560143470764,1050,storm_flag
storm_no_delay,44,12h,storm,0.7504702210426331,0.454242467880249,0.3446756899356842,0.739218533039093,1050,storm_flag
storm_no_delay,44,45min,quiet,0.410427987575531,0.08264711499214172,0.050923340022563934,0.9875535368919373,14716,storm_flag
storm_no_delay,44,6h,quiet,0.6855546832084656,0.23445972800254822,0.16196681559085846,0.8984050750732422,14716,storm_flag
