label,seed,horizon,period,pe,rmse,mae,r2,n,storm_source,stage
storm_bz_zeroshot,42,45min,all,0.009617149829864502,0.2958546578884125,0.21420703828334808,0.8233882784843445,426,storm_flag,zero_shot
storm_bz_zeroshot,42,6h,all,0.08248025178909302,0.5307128429412842,0.3933773934841156,0.4496397376060486,426,storm_flag,zero_shot
storm_bz_zeroshot,42,12h,all,0.09026175737380981,0.6868287920951843,0.53429114818573,0.11018818616867065,426,storm_flag,zero_shot
storm_bz_zeroshot,42,45min,storm,0.01261138916015625,0.43458637595176697,0.29110899567604065,0.5953603386878967,36,storm_flag,zero_shot
storm_bz_zeroshot,42,6h,storm,0.0972176194190979,0.6432807445526123,0.48364225029945374,-1.7989060878753662,36,storm_flag,zero_shot
storm_bz_zeroshot,42,12h,storm,0.042923033237457275,0.8789676427841187,0.7133363485336304,-3.4413866996765137,36,storm_flag,zero_shot
storm_bz_zeroshot,42,45min,quiet,0.008946835994720459,0.2795996069908142,0.20710836350917816,0.7954009175300598,390,storm_flag,zero_shot
storm_bz_zeroshot,42,6h,quiet,0.08035218715667725,0.5190927386283875,0.38504520058631897,0.30325520038604736,390,storm_flag,zero_shot
storm_bz_zeroshot,42,12h,quiet,0.09743273258209229,0.6663054823875427,0.5177639126777649,-0.10473060607910156,390,storm_flag,zero_shot
storm_bz_zeroshot,42,45min,high_flux,0.030435264110565186,0.3328655958175659,0.26275360584259033,0.777056872844696,43,storm_flag,zero_shot
storm_bz_zeroshot,42,6h,high_flux,0.07051801681518555,0.8058080077171326,0.6252550482749939,-16.137630462646484,43,storm_flag,zero_shot
storm_bz_zeroshot,42,12h,high_flux,0.10918951034545898,0.8326931595802307,0.7012035250663757,-1.5010559558868408,43,storm_flag,zero_shot
storm_bz_finetuned,42,45min,all,0.12374597787857056,0.27828630805015564,0.2048494964838028,0.8437405228614807,426,storm_flag,finetuned
storm_bz_finetuned,42,6h,all,0.6001229286193848,0.3503604829311371,0.27390027046203613,0.7601398229598999,426,storm_flag,finetuned
storm_bz_finetuned,42,12h,all,0.7690411806106567,0.34606483578681946,0.2703035771846771,0.7741000056266785,426,storm_flag,finetuned
storm_bz_finetuned,42,45min,storm,0.14402836561203003,0.40463340282440186,0.2743077576160431,0.6492160558700562,36,storm_flag,finetuned
storm_bz_finetuned,42,6h,storm,0.8615412712097168,0.2519237995147705,0.20406140387058258,0.5707349181175232,36,storm_flag,finetuned
storm_bz_finetuned,42,12h,storm,0.8810952305793762,0.30981260538101196,0.19901108741760254,0.4482135772705078,36,storm_flag,finetuned
storm_bz_finetuned,42,45min,quiet,0.1192060112953186,0.2635877728462219,0.19843794405460358,0.8181635141372681,390,storm_flag,finetuned
storm_bz_finetuned,42,6h,quiet,0.5623723864555359,0.3580853343009949,0.28034695982933044,0.6684439778327942,390,storm_flag,finetuned
storm_bz_finetuned,42,12h,quiet,0.7520667314529419,0.34922152757644653,0.27688440680503845,0.6965328454971313,390,storm_flag,finetuned
storm_bz_finetuned,42,45min,high_flux,0.12114369869232178,0.31691253185272217,0.22708339989185333,0.7979145050048828,43,storm_flag,finetuned
storm_bz_finetuned,42,6h,high_flux,0.8119065165519714,0.362491637468338,0.26534757018089294,-2.468035936355591,43,storm_flag,finetuned
storm_bz_finetuned,42,12h,high_flux,0.851081132888794,0.340460866689682,0.2495749294757843,0.5818926692008972,43,storm_flag,finetuned
