Model,n_seeds,PE_all,PE_all_std,PE_storm,PE_storm_std,PE_highflux,RMSE_all
transformer,3,0.6475,0.0309,0.6118,0.0420,0.7171,0.2590
storm_bz,3,0.6686,0.0300,0.6737,0.0171,0.7450,0.2511
storm_no_delay,3,0.6719,0.0224,0.6435,0.0152,0.7173,0.2499
storm_no_physics,3,0.6768,0.0191,0.6509,0.0289,0.7187,0.2480
storm_cathode,3,0.6638,0.0122,0.6390,0.0373,0.7096,0.2530
storm_cathode_spec,3,0.6661,0.0195,0.6549,0.0210,0.7324,0.2521
storm_radiotrophic,3,0.6563,0.0021,0.6396,0.0030,0.7199,0.2559
lstm,1,0.6140,0.0000,0.6342,0.0000,0.7924,0.2711
mlp,1,0.5251,0.0000,0.5409,0.0000,0.6656,0.3008
cnn,1,0.0326,0.0000,0.1644,0.0000,0.1872,0.4293
