feature,index,pe_permuted,pe_drop
bz,1,0.5590630769729614,0.1251351237297058
log_flux_std_1h,15,0.6051779985427856,0.07902020215988159
vsw_roll24h,9,0.6457406282424927,0.03845757246017456
density,3,0.6603901386260986,0.023808062076568604
bt,2,0.6612944602966309,0.022903740406036377
kp,13,0.6623645424842834,0.02183365821838379
bz_roll1h,10,0.6669139266014099,0.017284274101257324
dst,14,0.670209527015686,0.013988673686981201
bz_x_vsw,12,0.6716883778572083,0.012509822845458984
pdyn,4,0.6726586818695068,0.0115395188331604
bz_roll6h,11,0.6762705445289612,0.007927656173706055
bz_south_duration,5,0.6794981956481934,0.004700005054473877
vsw_roll1h,7,0.6822970509529114,0.0019011497497558594
vsw,0,0.683090329170227,0.0011078715324401855
storm_onset_hours,6,0.6832621097564697,0.0009360909461975098
vsw_roll6h,8,0.684577465057373,-0.00037926435470581055
