account,seed,run_name,epochs,PE_45min,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h
1,42,bagged_tf_seed42,40,0.9725666626762571,0.1307966113090515,0.8884161240277487,0.26378944516181946,0.8431069618119005,0.312791109085083
4,43,bagged_tf_seed43,40,0.9771777750617572,0.11929882317781448,0.8951871015274588,0.2556607723236084,0.8447291992125024,0.3111698031425476
7,44,bagged_tf_seed44,40,0.9775903434490494,0.11821559071540833,0.8899832166431647,0.26193055510520935,0.8478698602826613,0.3080067038536072
10,45,bagged_tf_seed45,40,0.9819559563253517,0.10607770085334778,0.9065744161884071,0.24137352406978607,0.8609901643511348,0.29442542791366577
11,46,bagged_tf_seed46,40,0.9798960549588517,0.1119690015912056,0.8985654217829041,0.2515068054199219,0.8496787807938143,0.3061700463294983
12,47,bagged_tf_seed47,40,0.9763443288248757,0.12145762890577316,0.8922410653799003,0.2592288553714752,0.8420245462545574,0.3138682246208191
13,48,bagged_tf_seed48,40,0.9807577688992487,0.10954306274652481,0.8953472337450811,0.25546538829803467,0.8376680613958609,0.318166583776474
14,49,bagged_tf_seed49,40,0.9755072669862289,0.12358785420656204,0.8956501743188354,0.25509536266326904,0.8401950995620331,0.3156803846359253
15,50,bagged_tf_seed50,40,0.9803439908310686,0.11071458458900452,0.8965651728927815,0.2539744973182678,0.846713607821433,0.3091749846935272
16,51,bagged_tf_seed51,40,0.9818600420718343,0.10635925829410553,0.9025156206273748,0.24656091630458832,0.8428144338580617,0.31308257579803467
17,56,bagged_tf_seed56,40,0.9725006200735067,0.13095395267009735,0.9000135114173736,0.24970507621765137,0.8575709900016124,0.29802438616752625
18,53,bagged_tf_seed53,40,0.9760290576102395,0.1222643181681633,0.895110016317573,0.2557547688484192,0.8380937108356366,0.31774917244911194
19,54,bagged_tf_seed54,40,0.9790298457845377,0.11435574293136597,0.8909203897598181,0.26081255078315735,0.8417370363427301,0.3141537308692932
20,55,bagged_tf_seed55,40,0.9696598502791892,0.13755172491073608,0.883252573872,0.2698238790035248,0.8365330758745866,0.31927689909935
21,56,bagged_tf_seed56,40,0.9817281868550454,0.10674510896205902,0.8990097967513621,0.2509552836418152,0.8559527311914625,0.2997126579284668
21,52,bagged_tf_seed52,40,0.9785161600224765,0.11574789881706238,0.8846872046582153,0.2681609094142914,0.8289269667477649,0.3266204297542572
