seed,model,horizon,PE
42,Zero-Shot (GOES),1h,0.8202089667320251
42,Fine-Tuned (GRASP),1h,0.8329647183418274
42,Zero-Shot (GOES),6h,0.44919002056121826
42,Fine-Tuned (GRASP),6h,0.6355229616165161
42,Zero-Shot (GOES),12h,0.1253092885017395
42,Fine-Tuned (GRASP),12h,0.5352246761322021
43,Zero-Shot (GOES),1h,0.8213656544685364
43,Fine-Tuned (GRASP),1h,0.8292839527130127
43,Zero-Shot (GOES),6h,0.4510592222213745
43,Fine-Tuned (GRASP),6h,0.6605464220046997
43,Zero-Shot (GOES),12h,0.14229708909988403
43,Fine-Tuned (GRASP),12h,0.5483576655387878
44,Zero-Shot (GOES),1h,0.8192272186279297
44,Fine-Tuned (GRASP),1h,0.8322345614433289
44,Zero-Shot (GOES),6h,0.4368659257888794
44,Fine-Tuned (GRASP),6h,0.49656516313552856
44,Zero-Shot (GOES),12h,0.1592196226119995
44,Fine-Tuned (GRASP),12h,0.45180147886276245
45,Zero-Shot (GOES),1h,0.819252610206604
45,Fine-Tuned (GRASP),1h,0.8162536025047302
45,Zero-Shot (GOES),6h,0.44977301359176636
45,Fine-Tuned (GRASP),6h,0.4699692726135254
45,Zero-Shot (GOES),12h,0.23734962940216064
45,Fine-Tuned (GRASP),12h,0.40932518243789673
46,Zero-Shot (GOES),1h,0.8212147951126099
46,Fine-Tuned (GRASP),1h,0.8339805603027344
46,Zero-Shot (GOES),6h,0.46125954389572144
46,Fine-Tuned (GRASP),6h,0.6360220909118652
46,Zero-Shot (GOES),12h,0.13658004999160767
46,Fine-Tuned (GRASP),12h,0.48985034227371216
47,Zero-Shot (GOES),1h,0.8196625709533691
47,Fine-Tuned (GRASP),1h,0.836072564125061
47,Zero-Shot (GOES),6h,0.43437129259109497
47,Fine-Tuned (GRASP),6h,0.6483883857727051
47,Zero-Shot (GOES),12h,0.2101770043373108
47,Fine-Tuned (GRASP),12h,0.6067312955856323
48,Zero-Shot (GOES),1h,0.8185900449752808
48,Fine-Tuned (GRASP),1h,0.8083502054214478
48,Zero-Shot (GOES),6h,0.43297040462493896
48,Fine-Tuned (GRASP),6h,0.4556848406791687
48,Zero-Shot (GOES),12h,0.18765521049499512
48,Fine-Tuned (GRASP),12h,0.3239905834197998
49,Zero-Shot (GOES),1h,0.8207983374595642
49,Fine-Tuned (GRASP),1h,0.8336105942726135
49,Zero-Shot (GOES),6h,0.45663148164749146
49,Fine-Tuned (GRASP),6h,0.6320697665214539
49,Zero-Shot (GOES),12h,0.2198241949081421
49,Fine-Tuned (GRASP),12h,0.5441566705703735
50,Zero-Shot (GOES),1h,0.821448028087616
50,Fine-Tuned (GRASP),1h,0.818244457244873
50,Zero-Shot (GOES),6h,0.45612895488739014
50,Fine-Tuned (GRASP),6h,0.6202545166015625
50,Zero-Shot (GOES),12h,0.22761130332946777
50,Fine-Tuned (GRASP),12h,0.5607845783233643
51,Zero-Shot (GOES),1h,0.8212984204292297
51,Fine-Tuned (GRASP),1h,0.8354406356811523
51,Zero-Shot (GOES),6h,0.4464554786682129
51,Fine-Tuned (GRASP),6h,0.6336766481399536
51,Zero-Shot (GOES),12h,0.15853476524353027
51,Fine-Tuned (GRASP),12h,0.5781073570251465
52,Zero-Shot (GOES),1h,0.8183831572532654
52,Fine-Tuned (GRASP),1h,0.8340343832969666
52,Zero-Shot (GOES),6h,0.47187721729278564
52,Fine-Tuned (GRASP),6h,0.6677353382110596
52,Zero-Shot (GOES),12h,0.26712751388549805
52,Fine-Tuned (GRASP),12h,0.5719272494316101
53,Zero-Shot (GOES),1h,0.8193560838699341
53,Fine-Tuned (GRASP),1h,0.8307061195373535
53,Zero-Shot (GOES),6h,0.4380909204483032
53,Fine-Tuned (GRASP),6h,0.6431223154067993
53,Zero-Shot (GOES),12h,0.12234997749328613
53,Fine-Tuned (GRASP),12h,0.5413632392883301
54,Zero-Shot (GOES),1h,0.8207153081893921
54,Fine-Tuned (GRASP),1h,0.82218337059021
54,Zero-Shot (GOES),6h,0.45418959856033325
54,Fine-Tuned (GRASP),6h,0.5264043807983398
54,Zero-Shot (GOES),12h,0.20322364568710327
54,Fine-Tuned (GRASP),12h,0.5507904291152954
55,Zero-Shot (GOES),1h,0.8214091062545776
55,Fine-Tuned (GRASP),1h,0.8224942684173584
55,Zero-Shot (GOES),6h,0.4550796151161194
55,Fine-Tuned (GRASP),6h,0.6209137439727783
55,Zero-Shot (GOES),12h,0.19125598669052124
55,Fine-Tuned (GRASP),12h,0.5310958623886108
56,Zero-Shot (GOES),1h,0.8207172155380249
56,Fine-Tuned (GRASP),1h,0.8206979632377625
56,Zero-Shot (GOES),6h,0.44217854738235474
56,Fine-Tuned (GRASP),6h,0.6432925462722778
56,Zero-Shot (GOES),12h,0.1383005976676941
56,Fine-Tuned (GRASP),12h,0.5084236860275269
