account,seed,run_name,epochs,PE_1h,RMSE_45min,PE_6h,RMSE_6h,PE_12h,RMSE_12h,upper_bound
1,42,wider_delay_1.5h_seed42,40,0.986381703782685,0.09215492755174637,0.9066601573552926,0.24126273393630981,0.8610633082873137,0.29434797167778015,1.5
1,42,wider_delay_2.0h_seed42,40,0.9868086838003093,0.0906987339258194,0.9067723920827673,0.24111764132976532,0.862879887286394,0.29241734743118286,2.0
2,42,wider_delay_2.5h_seed42,40,0.9864494937022736,0.09192527085542679,0.9054523616271819,0.2428186535835266,0.8630829507197972,0.2922007441520691,2.5
2,42,wider_delay_3.0h_seed42,40,0.9855163787208224,0.09503766149282455,0.8934700081665197,0.2577464282512665,0.8499878085476962,0.3058551847934723,3.0
3,42,wider_delay_3.5h_seed42,40,0.9862298589625806,0.09266726672649384,0.9001122932703394,0.2495816946029663,0.8490654326873662,0.30679404735565186,3.5
3,42,wider_delay_4.0h_seed42,40,0.9861787910144767,0.09283894300460815,0.9014649224542529,0.2478860765695572,0.8571793079271679,0.2984338700771332,4.0
4,43,wider_delay_1.5h_seed43,40,0.9859165068096001,0.09371569752693176,0.8988817077037512,0.2511143684387207,0.8560271415858633,0.29963523149490356,1.5
4,43,wider_delay_2.0h_seed43,40,0.9860691715245286,0.09320637583732605,0.8998807389534151,0.24987080693244934,0.8572138846261717,0.2983977496623993,2.0
5,43,wider_delay_2.5h_seed43,40,0.9861378575040342,0.09297631680965424,0.9018708862401654,0.24737490713596344,0.8591370731225606,0.2963813841342926,2.5
5,43,wider_delay_3.0h_seed43,40,0.9865698345491289,0.0915161743760109,0.9065189200941852,0.24144519865512848,0.8607999447157375,0.29462680220603943,3.0
6,43,wider_delay_3.5h_seed43,40,0.986833216427404,0.09061435610055923,0.9028892724247355,0.2460879236459732,0.8588212232210868,0.2967134714126587,3.5
6,43,wider_delay_2.0h_seed43,40,0.9859315516556068,0.09366562962532043,0.901332842944754,0.24805216491222382,0.8598908547190194,0.29558733105659485,2.0
7,44,wider_delay_1.5h_seed44,40,0.9860702766650928,0.09320268034934998,0.898169386361749,0.25199729204177856,0.8532564655323084,0.30250462889671326,1.5
7,44,wider_delay_2.0h_seed44,40,0.9861121137026183,0.09306260943412781,0.9009540835951263,0.24852780997753143,0.8559009617247094,0.29976651072502136,2.0
8,44,wider_delay_2.5h_seed44,40,0.9866593076252762,0.09121081978082657,0.9017611784069701,0.24751314520835876,0.856340900636499,0.29930853843688965,2.5
8,44,wider_delay_3.0h_seed44,40,0.9857594125718152,0.09423692524433136,0.9014470310869553,0.2479085773229599,0.8521921388216451,0.30359968543052673,3.0
9,44,wider_delay_3.5h_seed44,40,0.9858505792012056,0.0939347967505455,0.9006475826691485,0.248912051320076,0.8570177986607084,0.2986025810241699,3.5
9,44,wider_delay_4.0h_seed44,40,0.9865064562311984,0.09173185378313065,0.8986367841447528,0.2514183223247528,0.851788771877945,0.3040136694908142,4.0
10,45,wider_delay_1.5h_seed45,40,0.9854251762490354,0.0953364148736,0.8926844845491037,0.25869494676589966,0.839899058978786,0.3159726560115814,1.5
10,45,wider_delay_2.0h_seed45,40,0.9864097101353914,0.09206011891365051,0.8983742141420158,0.25174373388290405,0.8478546269408402,0.308022141456604,2.0
10,45,wider_delay_2.5h_seed45,40,0.9865608724565256,0.09154669940471649,0.9046597770427723,0.24383430182933807,0.8629726852204516,0.2923183739185333,2.5
10,45,wider_delay_3.0h_seed45,40,0.9857670410285754,0.09421168267726898,0.8969315904845337,0.2535242438316345,0.8530354805202922,0.30273231863975525,3.0
10,45,wider_delay_3.5h_seed45,40,0.9862298410413823,0.09266732633113861,0.8992099769577532,0.25070643424987793,0.8601176463225061,0.29534798860549927,3.5
10,45,wider_delay_4.0h_seed45,40,0.9866357965064869,0.0912911519408226,0.9030064653608436,0.24593938887119293,0.8423268952334761,0.31356772780418396,4.0
11,46,wider_delay_1.5h_seed46,40,0.9861195524933627,0.0930376872420311,0.9042227139386123,0.24439255893230438,0.8594518238338795,0.2960500717163086,1.5
